Climate,Old_Block,Block,Treatment,Species,sci_name,,,# leaves,# individuals,weight (g),Area,LA,Image #
Mesic,1,G,Partial,Bedstraw,Galium aparine,Galium_aparine,Mesic.1.Partial.Galium_aparine,7,7,0.32,2566.5038,366.6434,
Mesic,1,G,Partial,Gooseberry,Ribes californicum var. hesperium,Ribes,Mesic.1.Partial.Ribes,18,9,1.28,5634.863,313.0479444,
Mesic,1,G,Partial,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Mesic.1.Partial.Bromus_diandrus,3,3,0.05,718.0551,239.3517,
Mesic,1,G,Total,Snowberry,Symphoricarpos_mollis,Symphoricarpos_mollis,Mesic.1.Total.Symphoricarpos_mollis,20,10,0.63,3376.8825,168.844125,
Mesic,1,G,Total,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Mesic.1.Total.Bromus_hordeaceus,7,4,0.1,982.356,140.3365714,
Mesic,1,G,Total,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Mesic.1.Total.Bromus_tectorum ,look at scan,5,0.18,1762.7816,#VALUE!,
Mesic,1,G,Total,Bromus dian,Bromus diandrus,Bromus_diandrus,Mesic.1.Total.Bromus_diandrus,2,1,0.01,466.4096,233.2048,
Mesic,1,G,Open,Gooseberry,Ribes californicum var. hesperium,Ribes,Mesic.1.Open.Ribes,20,10,1.73,6311.9924,315.59962,
Mesic,1,G,Open,Snowberry,Symphoricarpos_mollis,Symphoricarpos_mollis,Mesic.1.Open.Symphoricarpos_mollis,20,10,0.66,3882.7443,194.137215,
Mesic,1,G,Total,Gooseberry,Ribes californicum var. hesperium,Ribes,Mesic.1.Total.Ribes,18,9,1.37,5120.9559,284.49755,
Mesic,1,G,Open,Bedstraw,Galium aparine,Galium_aparine,Mesic.1.Open.Galium_aparine,19,10,0.54,3248.5801,170.9779,
Mesic,1,G,Total,Bedstraw,Galium aparine,Galium_aparine,Mesic.1.Total.Galium_aparine,14,?,0.45,2941.4213,210.1015214,
Mesic,2,H,Total,Gooseberry,Ribes californicum var. hesperium,Ribes,Mesic.2.Total.Ribes,18,9,1.26,5251.93,291.7738889,
Mesic,2,H,Total,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Mesic.2.Total.Bromus_tectorum ,5,4,0.12,1080.0443,216.00886,
Mesic,2,H,Total,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Mesic.2.Total.Bromus_hordeaceus,2,2,0.03,399.2346,199.6173,
Mesic,2,H,Total,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Mesic.2.Total.Bromus_diandrus,2,1,0.09,863.4842,431.7421,
Mesic,2,H,Total,Snowberry,Symphoricarpos_mollis,Symphoricarpos_mollis,Mesic.2.Total.Symphoricarpos_mollis,12,6,0.42,2520.8312,210.0692667,
Mesic,2,H,Partial,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Mesic.2.Partial.Bromus_tectorum ,6,5,0.07,844.7958,140.7993,
Mesic,2,H,Partial,Snowberry,Symphoricarpos_mollis,Symphoricarpos_mollis,Mesic.2.Partial.Symphoricarpos_mollis,20,11,0.65,#N/A,#N/A,
Mesic,2,H,Open,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Mesic.2.Open.Bromus_tectorum ,7,?,0.11,#N/A,#N/A,
Mesic,2,H,Open,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Mesic.2.Open.Bromus_diandrus,3,3,0.05,597.4287,199.1429,
Mesic,2,H,Open,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Mesic.2.Open.Bromus_hordeaceus,13,8,0.16,1598.5355,122.9642692,
Mesic,2,H,Open,festuca myuros,Festuca myuros,Festuca_myuros,Mesic.2.Open.Festuca_myuros,7,5,0.02,192.9663,27.56661429,
Mesic,2,H,Open,snowberry,Symphoricarpos_mollis,Symphoricarpos_mollis,Mesic.2.Open.Symphoricarpos_mollis,20,10,0.74,3645.9159,182.295795,
Mesic,2,H,Open,Rabbit Brush,Ericameria nauseosa,Ericameria_nauseosa,Mesic.2.Open.Ericameria_nauseosa,10,5,0.14,371.1352,37.11352,
Mesic,2,H,Open,Gooseberry,Ribes californicum var. hesperium,Ribes,Mesic.2.Open.Ribes,20,10,1.38,5622.861,281.14305,
Mesic,2,H,Partial,Gooseberry,Ribes californicum var. hesperium,Ribes,Mesic.2.Partial.Ribes,20,10,1.55,5937.1448,296.85724,
Mesic,2,H,Total,Bedstraw,Galium aparine,Galium_aparine,Mesic.2.Total.Galium_aparine,8,5,0.47,3043.4161,380.4270125,
Mesic,3,I,Open,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Mesic.3.Open.Bromus_tectorum ,16,12,0.43,4154.5084,259.656775,
Mesic,3,I,Open,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Mesic.3.Open.Bromus_diandrus,14,11,0.72,#N/A,#N/A,
Mesic,3,I,Open,Foxtail,Hordeum murinum,Hordeum_murinum,Mesic.3.Open.Hordeum_murinum,15,9?,0.23,2738.1966,182.54644,
Mesic,3,I,Open,Snowberry,Symphoricarpos_mollis,Symphoricarpos_mollis,Mesic.3.Open.Symphoricarpos_mollis,20,10,0.71,4303.5605,215.178025,
Mesic,3,I,Total,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Mesic.3.Total.Bromus_tectorum ,6,6,0.13,1405.8185,234.3030833,
Mesic,3,I,Total,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Mesic.3.Total.Bromus_diandrus,3,3,0.07,816.2407,272.0802333,
Mesic,3,I,Total,Festuca myuros,Festuca myuros,Festuca_myuros,Mesic.3.Total.Festuca_myuros,8,8,0.01,134.1068,16.76335,
Mesic,3,I,Total,Snowberry,Symphoricarpos_mollis,Symphoricarpos_mollis,Mesic.3.Total.Symphoricarpos_mollis,20,11,0.8,4488.1247,224.406235,
Mesic,3,I,Partial,Cheatgrass,Bromus tectorum ,Bromus_tectorum ,Mesic.3.Partial.Bromus_tectorum ,1,?,0.27,2756.9607,2756.9607,
Mesic,3,I,Partial,Bromus diandrus,Bromus diandrus,Bromus_diandrus,Mesic.3.Partial.Bromus_diandrus,4,4,0.16,1325.5595,331.389875,
Mesic,3,I,Partial,Foxtail,Hordeum murinum,Hordeum_murinum,Mesic.3.Partial.Hordeum_murinum,2,1,0.05,577.9458,288.9729,
Mesic,3,I,Partial,Bromus hordeaceus,Bromus hordeaceus,Bromus_hordeaceus,Mesic.3.Partial.Bromus_hordeaceus,6,4,0.06,753.5639,125.5939833,
Mesic,3,I,Partial,Snowberry,Symphoricarpos_mollis,Symphoricarpos_mollis,Mesic.3.Partial.Symphoricarpos_mollis,18,9,0.79,#N/A,#N/A,
Mesic,3,I,Total,Gooseberry,Ribes californicum var. hesperium,Ribes,Mesic.3.Total.Ribes,20,10,1.39,6164.0845,308.204225,
Mesic,3,I,Open,Gooseberry,Ribes californicum var. hesperium,Ribes,Mesic.3.Open.Ribes,20,10,1.48,6532.3176,326.61588,
Mesic,3,I,Partial,Gooseberry,Ribes californicum var. hesperium,Ribes,Mesic.3.Partial.Ribes,18,9,1.52,5964.8221,331.3790056,
Mesic,3,I,Open,Bedstraw,Galium aparine,Galium_aparine,Mesic.3.Open.Galium_aparine,6,5,0.33,1909.5636,318.2606,
