climate,treatment,Block,species_name,functional_group,Abundance,leaf_area,sla,ldmc,Notes-taxonomy,Notes-data-sources
Mesic,Total,H,Plagiobothrys sp.,forb,0.025453787,108.2781,44.78154905,175.4429689,,
Mesic,Total,G,Acmispon wrangelianus,forb,0.02088822,121.1675,17.83009706,300.2619048,Acmispon_argophyllus,
Mesic,Partial,G,Claytonia perfoliata,forb,0.020877418,677.0966667,29.15681639,88.253205,,leaf area and sla from TRY Database
Arid,Open,B,Plagiobothrys sp.,forb,0.052961494,9.9405,16.35525,342.2796935,,
Mesic,Total,G,Plagiobothrys sp.,forb,0.020135491,108.2781,44.78154905,175.4429689,,
Mesic,Open,I,Plagiobothrys sp.,forb,0.019335347,105.906125,29.10441287,213.4310288,,
Mesic,Partial,I,Plagiobothrys sp.,forb,0.015254846,42.79361111,14.68841723,274.1892552,,
Mesic,Open,I,Festuca myuros,grass,0.019939577,29.0851875,12.76016966,374.0491222,,too leaf area as average of Arid and Intermediate treatments
Mesic,Partial,H,Claytonia perfoliata,forb,0.019898391,677.0966667,29.15681639,88.253205,,leaf area and sla from TRY Database
Mesic,Open,H,Ribes californicum var. hesperium,shrub,0.37414966,195.3682,5.593520957,387.9297296,,
Mesic,Partial,I,Claytonia perfoliata,forb,0.019203159,677.0966667,29.15681639,88.253205,,leaf area and sla from TRY Database
Intermediate,Open,E,Urtica dioica,forb,0.017398997,1559.746983,31.1474667,180.1094569,,got leaf area and sla from TRY Database
Arid,Open,A,Triteleia ixioides,forb,0.028422933,1229.995375,9.45025118,1573.131091,,
Mesic,Total,I,Claytonia perfoliata,forb,0.019074111,677.0966667,29.15681639,88.253205,,leaf area and sla from TRY Database
Mesic,Partial,I,Festuca myuros,grass,0.018844221,29.0851875,12.76016966,374.0491222,,too leaf area as average of Arid and Intermediate treatments
Mesic,Total,G,Ribes californicum var. hesperium,shrub,0.359427926,52.31665,1.475799815,423.0835055,,
Mesic,Partial,H,Ribes californicum var. hesperium,shrub,0.303979678,379.5989167,9.417568924,366.2628498,,
Mesic,Total,H,Claytonia perfoliata,forb,0.016899645,677.0966667,29.15681639,88.253205,,leaf area and sla from TRY Database
Mesic,Open,G,Ribes californicum var. hesperium,shrub,0.302086897,195.3682,5.593520957,387.9297296,,
Mesic,Partial,I,Bromus tectorum,grass,0.01615219,254.5189432,30.55685565,456.8847891,,"took sla and ldmc from Mesic Open, took leaf area as average from Arid"
Mesic,Total,H,Ribes californicum var. hesperium,shrub,0.299186313,52.31665,1.475799815,423.0835055,,
Mesic,Open,I,Ribes californicum var. hesperium,shrub,0.287613293,195.3682,5.593520957,387.9297296,,
Mesic,Partial,G,Ribes californicum var. hesperium,shrub,0.286961876,379.5989167,9.417568924,366.2628498,,
Mesic,Partial,H,Acmispon wrangelianus,forb,0.015664691,55.85855556,6.971445178,280.3623667,,
Mesic,Partial,I,Ribes californicum var. hesperium,shrub,0.238693467,379.5989167,9.417568924,366.2628498,,
Mesic,Total,I,Ribes californicum var. hesperium,shrub,0.237234254,52.31665,1.475799815,423.0835055,,
Intermediate,Partial,D,Ribes californicum var. hesperium,shrub,0.056830367,341.8797,11.187754,336.70139,,"took leaf area, sla, and ldmc from Intermediate Open"
Arid,Partial,C,Ribes californicum var. hesperium,shrub,0.056830367,242.2908675,6.918661,378.49437,,"took leaf area, sla, and ldmc as average of mesic and intermedaite treatments"
Mesic,Partial,H,Symphoricarpos mollis,shrub,0.153259949,95.5433,7.385697148,348.8485681,,
Mesic,Total,H,Symphoricarpos mollis,shrub,0.10849155,283.50755,14.41506248,357.4664225,,
Arid,Open,B,Trifolium sp.,forb,0.042215684,50.2068,26.46299074,300.2507494,"Actually Trifolium albopurpureum, but trifoliums grouped together","leaf area from Arid Total, sla from Arid Partial"
Mesic,Total,G,Symphoricarpos mollis,shrub,0.083552879,283.50755,14.41506248,357.4664225,,
Mesic,Partial,G,Symphoricarpos mollis,shrub,0.057005966,95.5433,7.385697148,348.8485681,,
Mesic,Open,I,Symphoricarpos mollis,shrub,0.054380665,59.87966667,4.93036804,365.3599487,,
Mesic,Total,I,Stipa pulchra,grass,0.02662428,NA,NA,NA,,from TRY
Mesic,Partial,I,Symphoricarpos mollis,shrub,0.043431443,95.5433,7.385697148,348.8485681,,
Mesic,Partial,I,Stipa pulchra,grass,0.021356784,NA,NA,NA,,from TRY
Mesic,Total,I,Symphoricarpos mollis,shrub,0.030001987,283.50755,14.41506248,357.4664225,,
Arid,Partial,A,Trifolium sp.,forb,0.058919007,50.2068,26.46299074,182.5277192,"Actually Trifolium albopurpureum, but trifoliums grouped together",leaf area from Arid Total
Arid,Partial,B,Trifolium sp.,forb,0.109951603,50.2068,26.46299074,182.5277192,"Actually Trifolium albopurpureum, but trifoliums grouped together",leaf area from Arid Total
Intermediate,Total,E,Viola purpurea,forb,0.020432407,157.625,27.882556,0.217841793,,"LA, SLA, and LDMC from Viola adunca from TRY Database"
Arid,Partial,A,Triteleia ixioides,forb,0.043661743,1451.290435,11.74641983,198.227921,,
Arid,Partial,B,Triteleia ixioides,forb,0.060193587,1451.290435,11.74641983,198.227921,,
Intermediate,Partial,D,Festuca myuros,grass,0.01629852,24.795875,12.05055833,366.2698413,Festuca microstachys?,
Intermediate,Open,F,Hordeum murinum,grass,0.014825175,362.8654,54.95001189,257.8138528,,
Mesic,Open,G,Symphoricarpos mollis,shrub,0.011475068,59.87966667,4.93036804,365.3599487,,
