PRISM Time Series Data,,,,,,,,,,,
Locations: 27,,,,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax",,,,,,,,,,,
Int_ E_Open,-118.5884,34.9757,1609,2002,226.35,6.6,12.8,18.9,-2.2,4.43,18.75
Int_ E_Open,-118.5884,34.9757,1609,2003,444.64,7.1,12.9,18.8,-1.1,4.5,18.5
Int_ E_Open,-118.5884,34.9757,1609,2004,475.65,6.5,12.5,18.4,-1.6,4.3,17.99
Int_ E_Open,-118.5884,34.9757,1609,2005,798.12,6.3,12.1,17.9,-0.4,3.38,16.22
Int_ E_Open,-118.5884,34.9757,1609,2006,428.83,6.4,12.4,18.5,-1.7,4.08,18.07
Int_ E_Open,-118.5884,34.9757,1609,2007,228.97,6.5,12.5,18.5,-3.2,4.36,18.4
Int_ E_Open,-118.5884,34.9757,1609,2008,481.77,6.8,12.6,18.3,-3.3,5.03,18.39
Int_ E_Open,-118.5884,34.9757,1609,2009,302.4,6.5,12.4,18.4,-2.6,4.37,18.26
Int_ E_Open,-118.5884,34.9757,1609,2010,852.09,5.7,11.4,17.2,-1.3,3.67,16.19
Int_ E_Open,-118.5884,34.9757,1609,2011,456.7,5.8,11.6,17.5,-2.3,3.74,16.81
Int_ E_Open,-118.5884,34.9757,1609,2012,297.27,7,13.1,19.2,-2.7,4.18,19.77
Int_ E_Open,-118.5884,34.9757,1609,2013,163.33,6.9,12.9,18.9,-3.7,4.83,19.16
Int_ E_Open,-118.5884,34.9757,1609,2014,393.96,7.8,14,20.1,-2.9,4.94,20.29
Int_ E_Open,-118.5884,34.9757,1609,2015,264.53,7.5,13.6,19.7,-1.2,4.01,18.98
Int_ E_Open,-118.5884,34.9757,1609,2016,338.48,7.2,13.2,19.3,-1.8,4.32,19.17
Int_ E_Open,-118.5884,34.9757,1609,2017,317.74,7.6,13.6,19.5,-1.5,4.39,19.33
,,,,,,,,,,,
Int_ E_Parti,-118.5872,34.9767,1596,1997,432.93,6.7,12.5,18.2,-0.6,3.65,16.35
Int_ E_Parti,-118.5872,34.9767,1596,1998,875.49,5.4,11,16.5,0.1,2.96,14.08
Int_ E_Parti,-118.5872,34.9767,1596,1999,306.26,6.3,12.4,18.5,-2.3,3.85,17.65
Int_ E_Parti,-118.5872,34.9767,1596,2000,306.14,6.4,12.6,18.8,-1.1,3.53,17.84
Int_ E_Parti,-118.5872,34.9767,1596,2001,473.47,6.8,12.7,18.7,-0.3,4.07,18.1
Int_ E_Parti,-118.5872,34.9767,1596,2002,226.42,6.7,12.8,19,-2.2,4.44,18.79
Int_ E_Parti,-118.5872,34.9767,1596,2003,443.42,7.1,13,18.9,-1.1,4.51,18.54
Int_ E_Parti,-118.5872,34.9767,1596,2004,472.62,6.6,12.5,18.4,-1.6,4.32,18.04
Int_ E_Parti,-118.5872,34.9767,1596,2005,794.02,6.4,12.2,18,-0.4,3.39,16.28
Int_ E_Parti,-118.5872,34.9767,1596,2006,424.54,6.4,12.5,18.5,-1.7,4.08,18.13
Int_ E_Parti,-118.5872,34.9767,1596,2007,228.24,6.5,12.5,18.5,-3.1,4.36,18.44
Int_ E_Parti,-118.5872,34.9767,1596,2008,476.84,6.8,12.6,18.4,-3.3,5.03,18.43
Int_ E_Parti,-118.5872,34.9767,1596,2009,300.03,6.5,12.5,18.5,-2.5,4.38,18.31
Int_ E_Parti,-118.5872,34.9767,1596,2010,847.35,5.7,11.5,17.2,-1.3,3.67,16.22
Int_ E_Parti,-118.5872,34.9767,1596,2011,455.06,5.8,11.7,17.5,-2.3,3.73,16.85
Int_ E_Parti,-118.5872,34.9767,1596,2012,296.81,7,13.1,19.2,-2.7,4.18,19.81
Int_ E_Parti,-118.5872,34.9767,1596,2013,162.79,6.9,12.9,18.9,-3.7,4.83,19.19
Int_ E_Parti,-118.5872,34.9767,1596,2014,393.09,7.8,14,20.2,-2.8,4.94,20.33
Int_ E_Parti,-118.5872,34.9767,1596,2015,264.23,7.5,13.6,19.7,-1.2,4.02,19.02
Int_ E_Parti,-118.5872,34.9767,1596,2016,338.09,7.2,13.3,19.3,-1.8,4.32,19.2
Int_ E_Parti,-118.5872,34.9767,1596,2017,317.97,7.7,13.6,19.6,-1.4,4.38,19.37
,,,,,,,,,,,
Int_ E_Total,-118.5883,34.9767,1594,1997,432.66,6.7,12.5,18.2,-0.6,3.65,16.34
Int_ E_Total,-118.5883,34.9767,1594,1998,875.33,5.4,11,16.5,0.1,2.96,14.08
Int_ E_Total,-118.5883,34.9767,1594,1999,306.12,6.3,12.4,18.5,-2.3,3.85,17.65
Int_ E_Total,-118.5883,34.9767,1594,2000,306.03,6.4,12.6,18.8,-1.1,3.53,17.84
Int_ E_Total,-118.5883,34.9767,1594,2001,473.25,6.8,12.7,18.7,-0.3,4.07,18.1
Int_ E_Total,-118.5883,34.9767,1594,2002,226.51,6.7,12.8,19,-2.2,4.44,18.79
Int_ E_Total,-118.5883,34.9767,1594,2003,443.55,7.1,13,18.9,-1.1,4.51,18.54
Int_ E_Total,-118.5883,34.9767,1594,2004,472.15,6.6,12.5,18.4,-1.6,4.32,18.04
Int_ E_Total,-118.5883,34.9767,1594,2005,793.25,6.4,12.2,18,-0.4,3.39,16.28
Int_ E_Total,-118.5883,34.9767,1594,2006,423.82,6.4,12.5,18.5,-1.7,4.08,18.13
Int_ E_Total,-118.5883,34.9767,1594,2007,228.3,6.5,12.5,18.5,-3.1,4.36,18.44
Int_ E_Total,-118.5883,34.9767,1594,2008,475.82,6.8,12.6,18.4,-3.3,5.03,18.43
Int_ E_Total,-118.5883,34.9767,1594,2009,299.67,6.5,12.5,18.5,-2.5,4.38,18.31
Int_ E_Total,-118.5883,34.9767,1594,2010,847.04,5.7,11.5,17.2,-1.3,3.67,16.22
Int_ E_Total,-118.5883,34.9767,1594,2011,455.12,5.8,11.7,17.5,-2.3,3.73,16.85
Int_ E_Total,-118.5883,34.9767,1594,2012,296.95,7,13.1,19.2,-2.7,4.18,19.81
Int_ E_Total,-118.5883,34.9767,1594,2013,162.9,6.9,12.9,18.9,-3.7,4.83,19.19
Int_ E_Total,-118.5883,34.9767,1594,2014,393.14,7.8,14,20.2,-2.8,4.94,20.33
Int_ E_Total,-118.5883,34.9767,1594,2015,264.28,7.5,13.6,19.7,-1.2,4.02,19.02
Int_ E_Total,-118.5883,34.9767,1594,2016,338.02,7.2,13.3,19.3,-1.8,4.32,19.19
Int_ E_Total,-118.5883,34.9767,1594,2017,318,7.7,13.6,19.6,-1.4,4.38,19.36
,,,,,,,,,,,
Int_ F_Open,-118.5835,34.9769,1597,1997,433.1,6.7,12.5,18.2,-0.6,3.65,16.36
Int_ F_Open,-118.5835,34.9769,1597,1998,875.1,5.4,11,16.5,0.1,2.96,14.09
Int_ F_Open,-118.5835,34.9769,1597,1999,306.2,6.3,12.4,18.5,-2.3,3.85,17.66
Int_ F_Open,-118.5835,34.9769,1597,2000,306.25,6.4,12.6,18.8,-1.1,3.53,17.85
Int_ F_Open,-118.5835,34.9769,1597,2001,473.23,6.8,12.7,18.7,-0.3,4.07,18.12
Int_ F_Open,-118.5835,34.9769,1597,2002,226.24,6.7,12.8,19,-2.2,4.44,18.81
Int_ F_Open,-118.5835,34.9769,1597,2003,442.78,7.1,13,18.9,-1.1,4.51,18.56
Int_ F_Open,-118.5835,34.9769,1597,2004,473,6.6,12.5,18.4,-1.6,4.32,18.06
Int_ F_Open,-118.5835,34.9769,1597,2005,794.86,6.4,12.2,18,-0.4,3.39,16.29
Int_ F_Open,-118.5835,34.9769,1597,2006,425.19,6.4,12.5,18.5,-1.7,4.08,18.14
Int_ F_Open,-118.5835,34.9769,1597,2007,227.9,6.5,12.5,18.6,-3.1,4.36,18.46
Int_ F_Open,-118.5835,34.9769,1597,2008,478.05,6.8,12.6,18.4,-3.3,5.03,18.45
Int_ F_Open,-118.5835,34.9769,1597,2009,300.3,6.5,12.5,18.5,-2.5,4.38,18.33
Int_ F_Open,-118.5835,34.9769,1597,2010,846.88,5.7,11.5,17.2,-1.3,3.67,16.24
Int_ F_Open,-118.5835,34.9769,1597,2011,454.48,5.8,11.7,17.5,-2.2,3.73,16.86
Int_ F_Open,-118.5835,34.9769,1597,2012,296.33,7,13.1,19.2,-2.7,4.18,19.83
Int_ F_Open,-118.5835,34.9769,1597,2013,162.36,6.9,12.9,18.9,-3.7,4.83,19.22
Int_ F_Open,-118.5835,34.9769,1597,2014,392.74,7.8,14,20.2,-2.8,4.93,20.35
Int_ F_Open,-118.5835,34.9769,1597,2015,264.04,7.5,13.6,19.7,-1.2,4.02,19.04
Int_ F_Open,-118.5835,34.9769,1597,2016,338.16,7.2,13.3,19.4,-1.8,4.33,19.22
Int_ F_Open,-118.5835,34.9769,1597,2017,317.95,7.7,13.6,19.6,-1.4,4.39,19.38
,,,,,,,,,,,
Int_ F_Parti,-118.5836,34.9789,1565,1997,428.23,6.8,12.5,18.3,-0.5,3.64,16.43
Int_ F_Parti,-118.5836,34.9789,1565,1998,868.01,5.5,11.1,16.6,0.1,2.96,14.17
Int_ F_Parti,-118.5836,34.9789,1565,1999,302.31,6.4,12.5,18.5,-2.3,3.87,17.77
Int_ F_Parti,-118.5836,34.9789,1565,2000,304.84,6.5,12.7,18.9,-1.1,3.55,17.97
Int_ F_Parti,-118.5836,34.9789,1565,2001,466.18,6.9,12.8,18.8,-0.2,4.08,18.21
Int_ F_Parti,-118.5836,34.9789,1565,2002,226.5,6.7,12.9,19,-2.1,4.46,18.89
Int_ F_Parti,-118.5836,34.9789,1565,2003,440.12,7.2,13.1,19,-1,4.51,18.65
Int_ F_Parti,-118.5836,34.9789,1565,2004,465.49,6.7,12.6,18.5,-1.5,4.35,18.17
Int_ F_Parti,-118.5836,34.9789,1565,2005,784.44,6.4,12.2,18.1,-0.4,3.42,16.42
Int_ F_Parti,-118.5836,34.9789,1565,2006,414.43,6.5,12.6,18.6,-1.7,4.09,18.26
Int_ F_Parti,-118.5836,34.9789,1565,2007,226.3,6.6,12.6,18.6,-3.1,4.37,18.55
Int_ F_Parti,-118.5836,34.9789,1565,2008,465.38,6.9,12.7,18.4,-3.2,5.04,18.54
Int_ F_Parti,-118.5836,34.9789,1565,2009,294.37,6.5,12.5,18.6,-2.5,4.4,18.45
Int_ F_Parti,-118.5836,34.9789,1565,2010,835.65,5.8,11.6,17.3,-1.2,3.67,16.31
Int_ F_Parti,-118.5836,34.9789,1565,2011,450.81,5.8,11.7,17.6,-2.2,3.72,16.94
Int_ F_Parti,-118.5836,34.9789,1565,2012,295.46,7,13.2,19.3,-2.6,4.19,19.92
Int_ F_Parti,-118.5836,34.9789,1565,2013,161.3,7,13,19,-3.6,4.83,19.28
Int_ F_Parti,-118.5836,34.9789,1565,2014,390.76,7.9,14.1,20.2,-2.7,4.93,20.44
Int_ F_Parti,-118.5836,34.9789,1565,2015,263.4,7.6,13.7,19.8,-1.1,4.03,19.13
Int_ F_Parti,-118.5836,34.9789,1565,2016,337.15,7.3,13.3,19.4,-1.7,4.31,19.28
Int_ F_Parti,-118.5836,34.9789,1565,2017,318.47,7.7,13.7,19.7,-1.3,4.38,19.47
,,,,,,,,,,,
Int_ F_Total,-118.5836,34.978,1580,1997,430.41,6.8,12.5,18.2,-0.5,3.64,16.4
Int_ F_Total,-118.5836,34.978,1580,1998,871.22,5.5,11,16.6,0.1,2.96,14.14
Int_ F_Total,-118.5836,34.978,1580,1999,304.06,6.3,12.4,18.5,-2.3,3.86,17.72
Int_ F_Total,-118.5836,34.978,1580,2000,305.47,6.5,12.7,18.9,-1.1,3.54,17.92
Int_ F_Total,-118.5836,34.978,1580,2001,469.36,6.8,12.8,18.7,-0.2,4.07,18.17
Int_ F_Total,-118.5836,34.978,1580,2002,226.39,6.7,12.9,19,-2.1,4.45,18.85
Int_ F_Total,-118.5836,34.978,1580,2003,441.35,7.1,13,18.9,-1,4.51,18.61
Int_ F_Total,-118.5836,34.978,1580,2004,468.84,6.6,12.6,18.5,-1.6,4.34,18.12
Int_ F_Total,-118.5836,34.978,1580,2005,789.08,6.4,12.2,18,-0.4,3.41,16.36
Int_ F_Total,-118.5836,34.978,1580,2006,419.23,6.5,12.5,18.6,-1.7,4.09,18.21
Int_ F_Total,-118.5836,34.978,1580,2007,227.04,6.6,12.6,18.6,-3.1,4.37,18.51
Int_ F_Total,-118.5836,34.978,1580,2008,471.01,6.9,12.6,18.4,-3.2,5.04,18.5
Int_ F_Total,-118.5836,34.978,1580,2009,297.02,6.5,12.5,18.5,-2.5,4.39,18.4
Int_ F_Total,-118.5836,34.978,1580,2010,840.72,5.8,11.5,17.3,-1.2,3.67,16.28
Int_ F_Total,-118.5836,34.978,1580,2011,452.49,5.8,11.7,17.6,-2.2,3.72,16.9
Int_ F_Total,-118.5836,34.978,1580,2012,295.88,7,13.1,19.3,-2.6,4.19,19.88
Int_ F_Total,-118.5836,34.978,1580,2013,161.8,7,13,19,-3.6,4.83,19.25
Int_ F_Total,-118.5836,34.978,1580,2014,391.67,7.9,14,20.2,-2.8,4.93,20.4
Int_ F_Total,-118.5836,34.978,1580,2015,263.7,7.5,13.6,19.7,-1.1,4.03,19.09
Int_ F_Total,-118.5836,34.978,1580,2016,337.6,7.2,13.3,19.4,-1.7,4.32,19.25
Int_ F_Total,-118.5836,34.978,1580,2017,318.24,7.7,13.7,19.6,-1.4,4.38,19.43
,,,,,,,,,,,
M_ G_Open,-118.583,34.972,1678,1997,443.37,6.6,12.4,18.1,-0.7,3.64,16.42
M_ G_Open,-118.583,34.972,1678,1998,886.94,5.3,10.9,16.4,-0.1,2.94,14.13
M_ G_Open,-118.583,34.972,1678,1999,314.01,6.2,12.3,18.4,-2.5,3.83,17.67
M_ G_Open,-118.583,34.972,1678,2000,310.29,6.3,12.5,18.7,-1.3,3.52,17.82
M_ G_Open,-118.583,34.972,1678,2001,487.56,6.7,12.6,18.6,-0.4,4.08,18.17
M_ G_Open,-118.583,34.972,1678,2002,222.61,6.5,12.7,18.9,-2.4,4.42,18.9
M_ G_Open,-118.583,34.972,1678,2003,440.98,6.9,12.9,18.8,-1.3,4.51,18.61
M_ G_Open,-118.583,34.972,1678,2004,493.4,6.4,12.3,18.3,-1.8,4.24,18.08
M_ G_Open,-118.583,34.972,1678,2005,829.86,6.2,12,17.9,-0.5,3.36,16.24
M_ G_Open,-118.583,34.972,1678,2006,457.05,6.3,12.4,18.4,-1.9,4.1,18.14
M_ G_Open,-118.583,34.972,1678,2007,228.22,6.4,12.5,18.5,-3.3,4.39,18.59
M_ G_Open,-118.583,34.972,1678,2008,520.44,6.7,12.6,18.4,-3.4,5.02,18.56
M_ G_Open,-118.583,34.972,1678,2009,316.72,6.4,12.4,18.4,-2.7,4.36,18.32
M_ G_Open,-118.583,34.972,1678,2010,867.72,5.6,11.4,17.2,-1.4,3.7,16.29
M_ G_Open,-118.583,34.972,1678,2011,457.09,5.7,11.6,17.5,-2.4,3.76,16.91
M_ G_Open,-118.583,34.972,1678,2012,291.85,6.9,13.1,19.2,-2.8,4.17,19.88
M_ G_Open,-118.583,34.972,1678,2013,160.76,6.9,13,19,-3.8,4.88,19.46
M_ G_Open,-118.583,34.972,1678,2014,391.07,7.9,14,20.1,-2.9,4.99,20.4
M_ G_Open,-118.583,34.972,1678,2015,262.88,7.5,13.6,19.7,-1.3,4.03,19.09
M_ G_Open,-118.583,34.972,1678,2016,340.01,7.3,13.3,19.4,-2,4.47,19.39
M_ G_Open,-118.583,34.972,1678,2017,314.8,7.7,13.6,19.6,-1.6,4.45,19.48
,,,,,,,,,,,
M_ G_Partial,-118.5833,34.971,1692,1997,445.62,6.6,12.3,18.1,-0.8,3.64,16.37
M_ G_Partial,-118.5833,34.971,1692,1998,890.51,5.3,10.8,16.4,-0.1,2.94,14.08
M_ G_Partial,-118.5833,34.971,1692,1999,315.84,6.2,12.3,18.3,-2.5,3.82,17.6
M_ G_Partial,-118.5833,34.971,1692,2000,311.01,6.3,12.5,18.6,-1.3,3.51,17.74
M_ G_Partial,-118.5833,34.971,1692,2001,490.79,6.6,12.6,18.6,-0.5,4.07,18.11
M_ G_Partial,-118.5833,34.971,1692,2002,222.67,6.5,12.7,18.8,-2.5,4.41,18.84
M_ G_Partial,-118.5833,34.971,1692,2003,442.67,6.9,12.8,18.7,-1.3,4.51,18.56
M_ G_Partial,-118.5833,34.971,1692,2004,496.61,6.3,12.3,18.3,-1.8,4.23,18.01
M_ G_Partial,-118.5833,34.971,1692,2005,833.85,6.2,12,17.8,-0.5,3.35,16.17
M_ G_Partial,-118.5833,34.971,1692,2006,461.46,6.3,12.4,18.4,-1.9,4.09,18.07
M_ G_Partial,-118.5833,34.971,1692,2007,229.11,6.4,12.5,18.5,-3.3,4.38,18.53
M_ G_Partial,-118.5833,34.971,1692,2008,525.38,6.7,12.5,18.3,-3.4,5.02,18.51
M_ G_Partial,-118.5833,34.971,1692,2009,319.28,6.3,12.3,18.3,-2.7,4.35,18.25
M_ G_Partial,-118.5833,34.971,1692,2010,872.97,5.6,11.4,17.1,-1.5,3.7,16.24
M_ G_Partial,-118.5833,34.971,1692,2011,459.01,5.7,11.6,17.5,-2.4,3.77,16.87
M_ G_Partial,-118.5833,34.971,1692,2012,292.63,6.9,13,19.2,-2.8,4.16,19.82
M_ G_Partial,-118.5833,34.971,1692,2013,161.4,6.9,12.9,19,-3.9,4.87,19.41
M_ G_Partial,-118.5833,34.971,1692,2014,392.43,7.9,14,20.1,-3,4.98,20.34
M_ G_Partial,-118.5833,34.971,1692,2015,263.31,7.4,13.5,19.6,-1.3,4.02,19.04
M_ G_Partial,-118.5833,34.971,1692,2016,340.57,7.2,13.3,19.3,-2,4.47,19.35
M_ G_Partial,-118.5833,34.971,1692,2017,314.8,7.7,13.6,19.6,-1.6,4.45,19.42
,,,,,,,,,,,
M_ G_Total,-118.5822,34.9709,1693,1997,445.57,6.6,12.3,18.1,-0.8,3.64,16.38
M_ G_Total,-118.5822,34.9709,1693,1998,890.53,5.3,10.8,16.4,-0.1,2.94,14.08
M_ G_Total,-118.5822,34.9709,1693,1999,315.85,6.2,12.3,18.3,-2.5,3.82,17.61
M_ G_Total,-118.5822,34.9709,1693,2000,311.02,6.3,12.5,18.6,-1.3,3.51,17.75
M_ G_Total,-118.5822,34.9709,1693,2001,490.82,6.6,12.6,18.6,-0.5,4.07,18.11
M_ G_Total,-118.5822,34.9709,1693,2002,222.61,6.5,12.7,18.8,-2.5,4.41,18.85
M_ G_Total,-118.5822,34.9709,1693,2003,442.61,6.9,12.8,18.7,-1.3,4.51,18.56
M_ G_Total,-118.5822,34.9709,1693,2004,496.67,6.3,12.3,18.3,-1.8,4.23,18.02
M_ G_Total,-118.5822,34.9709,1693,2005,834.02,6.2,12,17.8,-0.5,3.35,16.17
M_ G_Total,-118.5822,34.9709,1693,2006,461.56,6.3,12.4,18.4,-1.9,4.09,18.07
M_ G_Total,-118.5822,34.9709,1693,2007,229.09,6.4,12.5,18.5,-3.3,4.39,18.54
M_ G_Total,-118.5822,34.9709,1693,2008,525.53,6.7,12.5,18.3,-3.4,5.02,18.51
M_ G_Total,-118.5822,34.9709,1693,2009,319.33,6.3,12.3,18.3,-2.7,4.35,18.25
M_ G_Total,-118.5822,34.9709,1693,2010,872.99,5.6,11.4,17.1,-1.5,3.7,16.25
M_ G_Total,-118.5822,34.9709,1693,2011,458.99,5.7,11.6,17.5,-2.4,3.77,16.87
M_ G_Total,-118.5822,34.9709,1693,2012,292.54,6.9,13,19.2,-2.8,4.16,19.83
M_ G_Total,-118.5822,34.9709,1693,2013,161.38,6.9,12.9,19,-3.9,4.87,19.42
M_ G_Total,-118.5822,34.9709,1693,2014,392.33,7.9,14,20.1,-3,4.98,20.35
M_ G_Total,-118.5822,34.9709,1693,2015,263.28,7.4,13.5,19.6,-1.3,4.02,19.04
M_ G_Total,-118.5822,34.9709,1693,2016,340.54,7.2,13.3,19.3,-2,4.47,19.35
M_ G_Total,-118.5822,34.9709,1693,2017,314.75,7.7,13.6,19.6,-1.6,4.45,19.43
,,,,,,,,,,,
M_ H_Open,-118.5858,34.9731,1654,1997,441.74,6.6,12.3,18,-0.7,3.65,16.23
M_ H_Open,-118.5858,34.9731,1654,1998,887.37,5.3,10.8,16.4,0,2.95,13.97
M_ H_Open,-118.5858,34.9731,1654,1999,313,6.2,12.3,18.3,-2.4,3.82,17.49
M_ H_Open,-118.5858,34.9731,1654,2000,308.73,6.3,12.5,18.6,-1.2,3.5,17.64
M_ H_Open,-118.5858,34.9731,1654,2001,485.53,6.6,12.6,18.5,-0.4,4.05,17.95
M_ H_Open,-118.5858,34.9731,1654,2002,225.71,6.5,12.7,18.8,-2.4,4.41,18.66
M_ H_Open,-118.5858,34.9731,1654,2003,447.21,6.9,12.8,18.7,-1.2,4.5,18.41
M_ H_Open,-118.5858,34.9731,1654,2004,486.32,6.4,12.3,18.3,-1.7,4.26,17.86
M_ H_Open,-118.5858,34.9731,1654,2005,813.42,6.2,12,17.8,-0.4,3.36,16.07
M_ H_Open,-118.5858,34.9731,1654,2006,444.29,6.3,12.4,18.4,-1.8,4.07,17.93
M_ H_Open,-118.5858,34.9731,1654,2007,230.6,6.4,12.4,18.4,-3.2,4.36,18.31
M_ H_Open,-118.5858,34.9731,1654,2008,500.69,6.7,12.5,18.3,-3.4,5.02,18.31
M_ H_Open,-118.5858,34.9731,1654,2009,310.79,6.4,12.4,18.3,-2.6,4.34,18.12
M_ H_Open,-118.5858,34.9731,1654,2010,866.43,5.6,11.4,17.1,-1.4,3.68,16.11
M_ H_Open,-118.5858,34.9731,1654,2011,460.72,5.7,11.6,17.4,-2.4,3.76,16.73
M_ H_Open,-118.5858,34.9731,1654,2012,297.71,6.9,13,19.1,-2.8,4.16,19.66
M_ H_Open,-118.5858,34.9731,1654,2013,164.1,6.9,12.8,18.8,-3.8,4.83,19.12
M_ H_Open,-118.5858,34.9731,1654,2014,396.06,7.8,13.9,20,-3,4.93,20.19
M_ H_Open,-118.5858,34.9731,1654,2015,265.09,7.4,13.5,19.6,-1.3,3.99,18.88
M_ H_Open,-118.5858,34.9731,1654,2016,339.95,7.1,13.2,19.3,-1.9,4.35,19.12
M_ H_Open,-118.5858,34.9731,1654,2017,317.02,7.6,13.5,19.5,-1.6,4.4,19.24
,,,,,,,,,,,
M_ H_Partial,-118.5865,34.9723,1664,1997,443.33,6.6,12.3,18,-0.7,3.65,16.21
M_ H_Partial,-118.5865,34.9723,1664,1998,889.55,5.3,10.8,16.3,-0.1,2.94,13.94
M_ H_Partial,-118.5865,34.9723,1664,1999,314.22,6.2,12.3,18.3,-2.4,3.81,17.45
M_ H_Partial,-118.5865,34.9723,1664,2000,309.18,6.3,12.4,18.6,-1.2,3.49,17.6
M_ H_Partial,-118.5865,34.9723,1664,2001,487.74,6.6,12.6,18.5,-0.4,4.04,17.92
M_ H_Partial,-118.5865,34.9723,1664,2002,225.6,6.5,12.6,18.8,-2.4,4.41,18.64
M_ H_Partial,-118.5865,34.9723,1664,2003,447.96,6.9,12.8,18.7,-1.3,4.5,18.38
M_ H_Partial,-118.5865,34.9723,1664,2004,488.77,6.4,12.3,18.2,-1.7,4.24,17.83
M_ H_Partial,-118.5865,34.9723,1664,2005,816.85,6.2,12,17.8,-0.5,3.35,16.03
M_ H_Partial,-118.5865,34.9723,1664,2006,447.81,6.3,12.3,18.3,-1.8,4.06,17.89
M_ H_Partial,-118.5865,34.9723,1664,2007,231.06,6.4,12.4,18.4,-3.3,4.36,18.29
M_ H_Partial,-118.5865,34.9723,1664,2008,504.88,6.7,12.5,18.3,-3.4,5.02,18.29
M_ H_Partial,-118.5865,34.9723,1664,2009,312.7,6.4,12.3,18.3,-2.6,4.34,18.09
M_ H_Partial,-118.5865,34.9723,1664,2010,869.94,5.6,11.3,17.1,-1.4,3.68,16.09
M_ H_Partial,-118.5865,34.9723,1664,2011,461.81,5.7,11.6,17.4,-2.4,3.76,16.71
M_ H_Partial,-118.5865,34.9723,1664,2012,297.92,6.9,13,19.1,-2.8,4.15,19.63
M_ H_Partial,-118.5865,34.9723,1664,2013,164.38,6.8,12.8,18.8,-3.8,4.83,19.11
M_ H_Partial,-118.5865,34.9723,1664,2014,396.63,7.8,13.9,20,-3,4.93,20.16
M_ H_Partial,-118.5865,34.9723,1664,2015,265.26,7.4,13.5,19.6,-1.3,3.98,18.85
M_ H_Partial,-118.5865,34.9723,1664,2016,340.28,7.1,13.2,19.2,-1.9,4.35,19.1
M_ H_Partial,-118.5865,34.9723,1664,2017,316.85,7.6,13.5,19.4,-1.6,4.4,19.21
,,,,,,,,,,,
M_ H_Total,-118.5855,34.972,1671,1997,444.29,6.6,12.3,18,-0.7,3.65,16.2
M_ H_Total,-118.5855,34.972,1671,1998,890.82,5.3,10.8,16.3,-0.1,2.94,13.93
M_ H_Total,-118.5855,34.972,1671,1999,314.95,6.2,12.2,18.3,-2.4,3.81,17.44
M_ H_Total,-118.5855,34.972,1671,2000,309.54,6.3,12.4,18.6,-1.3,3.49,17.58
M_ H_Total,-118.5855,34.972,1671,2001,489.01,6.6,12.5,18.5,-0.4,4.04,17.9
M_ H_Total,-118.5855,34.972,1671,2002,225.49,6.5,12.6,18.8,-2.4,4.41,18.63
M_ H_Total,-118.5855,34.972,1671,2003,448.24,6.9,12.8,18.7,-1.3,4.5,18.37
M_ H_Total,-118.5855,34.972,1671,2004,490.33,6.3,12.3,18.2,-1.8,4.24,17.82
M_ H_Total,-118.5855,34.972,1671,2005,819.17,6.2,12,17.8,-0.5,3.34,16.01
M_ H_Total,-118.5855,34.972,1671,2006,450.12,6.3,12.3,18.3,-1.8,4.06,17.88
M_ H_Total,-118.5855,34.972,1671,2007,231.25,6.4,12.4,18.4,-3.3,4.36,18.28
M_ H_Total,-118.5855,34.972,1671,2008,507.78,6.7,12.5,18.3,-3.4,5.02,18.28
M_ H_Total,-118.5855,34.972,1671,2009,313.96,6.3,12.3,18.3,-2.7,4.33,18.07
M_ H_Total,-118.5855,34.972,1671,2010,871.92,5.6,11.3,17.1,-1.4,3.69,16.08
M_ H_Total,-118.5855,34.972,1671,2011,462.3,5.7,11.5,17.4,-2.4,3.77,16.7
M_ H_Total,-118.5855,34.972,1671,2012,297.91,6.9,13,19.1,-2.8,4.15,19.62
M_ H_Total,-118.5855,34.972,1671,2013,164.42,6.8,12.8,18.8,-3.9,4.83,19.11
M_ H_Total,-118.5855,34.972,1671,2014,396.9,7.8,13.9,20,-3,4.93,20.15
M_ H_Total,-118.5855,34.972,1671,2015,265.32,7.4,13.5,19.6,-1.3,3.98,18.84
M_ H_Total,-118.5855,34.972,1671,2016,340.51,7.1,13.2,19.2,-2,4.36,19.09
M_ H_Total,-118.5855,34.972,1671,2017,316.76,7.6,13.5,19.4,-1.6,4.41,19.2
,,,,,,,,,,,
M_ I_Open,-118.5915,34.9719,1652,1997,441.75,6.6,12.3,18,-0.7,3.65,16.21
M_ I_Open,-118.5915,34.9719,1652,1998,887.58,5.3,10.8,16.4,0,2.95,13.94
M_ I_Open,-118.5915,34.9719,1652,1999,313.05,6.2,12.3,18.3,-2.4,3.82,17.46
M_ I_Open,-118.5915,34.9719,1652,2000,308.26,6.3,12.5,18.6,-1.2,3.5,17.61
M_ I_Open,-118.5915,34.9719,1652,2001,485.89,6.6,12.6,18.5,-0.4,4.05,17.93
M_ I_Open,-118.5915,34.9719,1652,2002,225.9,6.5,12.7,18.8,-2.4,4.41,18.63
M_ I_Open,-118.5915,34.9719,1652,2003,448.03,6.9,12.8,18.7,-1.2,4.5,18.38
M_ I_Open,-118.5915,34.9719,1652,2004,485.94,6.4,12.3,18.2,-1.7,4.26,17.83
M_ I_Open,-118.5915,34.9719,1652,2005,812.18,6.2,12,17.8,-0.5,3.35,16.04
