PRISM Time Series Data,,,,,,,,,,,
Locations: 27,,,,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax",,,,,,,,,,,
M_ G_Total,-118.5822,34.9709,1653,January,107.04,0.5,5.2,9.9,-4.9,2.1,8.01
M_ G_Total,-118.5822,34.9709,1653,February,91.74,0,4.8,9.7,-3.6,1.51,7.4
M_ G_Total,-118.5822,34.9709,1653,March,68.98,2.2,7,11.7,-1.9,2.14,9.27
M_ G_Total,-118.5822,34.9709,1653,April,30.4,3.5,9.4,15.3,-0.2,2.45,12.67
M_ G_Total,-118.5822,34.9709,1653,May,13.1,7.3,14.1,20.9,2.1,3.65,18.24
M_ G_Total,-118.5822,34.9709,1653,June,3.59,11.1,18.4,25.8,3.9,5.89,26.25
M_ G_Total,-118.5822,34.9709,1653,July,2.94,15.2,22.5,29.7,5.4,8.81,32.75
M_ G_Total,-118.5822,34.9709,1653,August,4.43,14.3,21.7,29.2,3.4,8.74,33.1
M_ G_Total,-118.5822,34.9709,1653,September,5.15,12,18.9,25.8,1.7,6.81,27.97
M_ G_Total,-118.5822,34.9709,1653,October,16.45,7.6,13.9,20.1,-0.7,4.37,19.44
M_ G_Total,-118.5822,34.9709,1653,November,41.35,3.5,8.6,13.6,-3.5,2.67,11.5
M_ G_Total,-118.5822,34.9709,1653,December,85.81,0.6,5.2,9.7,-5.9,1.99,8.25
M_ G_Total,-118.5822,34.9709,1653,Annual,470.96,6.5,12.5,18.5,-0.3,4.26,17.9
M_ H_Open,-118.5858,34.9731,1630,January,108.31,0.7,5.4,10.1,-4.8,2.05,8.13
M_ H_Open,-118.5858,34.9731,1630,February,89.64,0.1,5,9.8,-3.5,1.54,7.47
M_ H_Open,-118.5858,34.9731,1630,March,69.5,2.4,7.1,11.8,-1.8,2.19,9.35
M_ H_Open,-118.5858,34.9731,1630,April,31.31,3.7,9.5,15.4,0,2.51,12.79
M_ H_Open,-118.5858,34.9731,1630,May,13.48,7.4,14.3,21.1,2.2,3.75,18.49
M_ H_Open,-118.5858,34.9731,1630,June,3.71,11.3,18.6,25.9,4,5.98,26.63
M_ H_Open,-118.5858,34.9731,1630,July,3.02,15.4,22.7,29.9,5.5,8.74,33.25
M_ H_Open,-118.5858,34.9731,1630,August,4.57,14.4,21.9,29.3,3.5,8.54,33.49
M_ H_Open,-118.5858,34.9731,1630,September,5.15,12.2,19.1,26,1.8,6.9,28.31
M_ H_Open,-118.5858,34.9731,1630,October,16.02,7.7,14,20.3,-0.6,4.47,19.66
M_ H_Open,-118.5858,34.9731,1630,November,42.37,3.6,8.7,13.8,-3.4,2.73,11.62
M_ H_Open,-118.5858,34.9731,1630,December,87.16,0.8,5.3,9.8,-5.8,2.03,8.36
M_ H_Open,-118.5858,34.9731,1630,Annual,474.25,6.6,12.6,18.6,-0.2,4.28,18.13
M_ H_Partial,-118.5865,34.9723,1642,January,108.73,0.5,5.2,10,-4.8,2.05,8.06
M_ H_Partial,-118.5865,34.9723,1642,February,90.08,0,4.8,9.7,-3.6,1.51,7.4
M_ H_Partial,-118.5865,34.9723,1642,March,70.03,2.2,7,11.7,-1.8,2.16,9.27
M_ H_Partial,-118.5865,34.9723,1642,April,31.32,3.5,9.4,15.3,-0.1,2.47,12.7
M_ H_Partial,-118.5865,34.9723,1642,May,13.48,7.3,14.2,21,2.2,3.7,18.34
M_ H_Partial,-118.5865,34.9723,1642,June,3.72,11.2,18.5,25.8,3.9,5.88,26.4
M_ H_Partial,-118.5865,34.9723,1642,July,3.04,15.3,22.5,29.8,5.4,8.72,32.97
M_ H_Partial,-118.5865,34.9723,1642,August,4.58,14.3,21.7,29.2,3.4,8.51,33.2
M_ H_Partial,-118.5865,34.9723,1642,September,5.17,12,19,25.9,1.7,6.8,28.06
M_ H_Partial,-118.5865,34.9723,1642,October,16.08,7.6,13.9,20.2,-0.7,4.4,19.5
M_ H_Partial,-118.5865,34.9723,1642,November,42.71,3.5,8.6,13.7,-3.5,2.69,11.53
M_ H_Partial,-118.5865,34.9723,1642,December,87.87,0.7,5.2,9.7,-5.9,1.99,8.28
M_ H_Partial,-118.5865,34.9723,1642,Annual,476.81,6.5,12.5,18.5,-0.3,4.24,17.98
M_ H_Total,-118.5855,34.972,1641,January,108.51,0.5,5.2,10,-4.8,2.05,8.06
M_ H_Total,-118.5855,34.972,1641,February,90.17,0,4.8,9.7,-3.6,1.51,7.41
M_ H_Total,-118.5855,34.972,1641,March,69.91,2.2,7,11.7,-1.8,2.16,9.28
M_ H_Total,-118.5855,34.972,1641,April,31.22,3.5,9.4,15.3,-0.1,2.47,12.7
M_ H_Total,-118.5855,34.972,1641,May,13.44,7.3,14.2,21,2.2,3.7,18.36
M_ H_Total,-118.5855,34.972,1641,June,3.71,11.2,18.5,25.8,3.9,5.89,26.42
M_ H_Total,-118.5855,34.972,1641,July,3.03,15.3,22.5,29.8,5.4,8.75,33
M_ H_Total,-118.5855,34.972,1641,August,4.56,14.3,21.8,29.2,3.4,8.53,33.22
M_ H_Total,-118.5855,34.972,1641,September,5.16,12,19,25.9,1.7,6.81,28.09
M_ H_Total,-118.5855,34.972,1641,October,16.12,7.6,13.9,20.2,-0.7,4.4,19.51
M_ H_Total,-118.5855,34.972,1641,November,42.48,3.5,8.6,13.7,-3.5,2.69,11.53
M_ H_Total,-118.5855,34.972,1641,December,87.48,0.7,5.2,9.7,-5.9,1.99,8.29
M_ H_Total,-118.5855,34.972,1641,Annual,475.8,6.5,12.5,18.5,-0.3,4.24,17.99
M_ I_Open,-118.5915,34.9719,1654,January,109.91,0.4,5.1,9.9,-4.9,2.01,8.01
M_ I_Open,-118.5915,34.9719,1654,February,89.98,-0.1,4.7,9.6,-3.6,1.49,7.33
M_ I_Open,-118.5915,34.9719,1654,March,70.82,2.1,6.9,11.6,-1.9,2.15,9.2
M_ I_Open,-118.5915,34.9719,1654,April,31.73,3.4,9.3,15.2,-0.2,2.43,12.62
M_ I_Open,-118.5915,34.9719,1654,May,13.61,7.2,14,20.9,2.1,3.68,18.16
M_ I_Open,-118.5915,34.9719,1654,June,3.78,11,18.4,25.7,3.8,5.77,26.19
M_ I_Open,-118.5915,34.9719,1654,July,3.12,15.2,22.4,29.6,5.3,8.61,32.71
M_ I_Open,-118.5915,34.9719,1654,August,4.66,14.1,21.6,29.1,3.3,8.44,32.91
M_ I_Open,-118.5915,34.9719,1654,September,5.26,11.9,18.8,25.8,1.6,6.73,27.81
M_ I_Open,-118.5915,34.9719,1654,October,15.97,7.4,13.8,20.1,-0.8,4.34,19.33
M_ I_Open,-118.5915,34.9719,1654,November,43.88,3.4,8.5,13.6,-3.5,2.66,11.45
M_ I_Open,-118.5915,34.9719,1654,December,89.88,0.5,5.1,9.6,-5.9,1.94,8.2
M_ I_Open,-118.5915,34.9719,1654,Annual,482.6,6.4,12.4,18.4,-0.4,4.18,17.83
M_ I_Partial,-118.5901,34.9718,1655,January,109.78,0.4,5.1,9.9,-4.9,2.02,8
M_ I_Partial,-118.5901,34.9718,1655,February,90.13,-0.2,4.7,9.6,-3.6,1.48,7.33
M_ I_Partial,-118.5901,34.9718,1655,March,70.82,2.1,6.9,11.6,-1.9,2.14,9.2
M_ I_Partial,-118.5901,34.9718,1655,April,31.61,3.4,9.3,15.2,-0.2,2.43,12.61
M_ I_Partial,-118.5901,34.9718,1655,May,13.58,7.2,14,20.9,2.1,3.67,18.16
M_ I_Partial,-118.5901,34.9718,1655,June,3.77,11,18.4,25.7,3.8,5.77,26.17
M_ I_Partial,-118.5901,34.9718,1655,July,3.11,15.1,22.4,29.6,5.3,8.64,32.7
M_ I_Partial,-118.5901,34.9718,1655,August,4.64,14.1,21.6,29.1,3.3,8.45,32.89
M_ I_Partial,-118.5901,34.9718,1655,September,5.25,11.9,18.8,25.8,1.6,6.71,27.8
M_ I_Partial,-118.5901,34.9718,1655,October,16.01,7.4,13.7,20.1,-0.8,4.33,19.32
M_ I_Partial,-118.5901,34.9718,1655,November,43.68,3.4,8.5,13.6,-3.5,2.65,11.44
M_ I_Partial,-118.5901,34.9718,1655,December,89.58,0.5,5.1,9.6,-5.9,1.94,8.2
M_ I_Partial,-118.5901,34.9718,1655,Annual,481.95,6.4,12.4,18.4,-0.4,4.18,17.82
M_ I_Total,-118.5896,34.9726,1648,January,109.58,0.5,5.2,9.9,-4.9,2.01,8.04
M_ I_Total,-118.5896,34.9726,1648,February,89.75,-0.1,4.8,9.6,-3.6,1.5,7.36
M_ I_Total,-118.5896,34.9726,1648,March,70.43,2.2,6.9,11.7,-1.9,2.17,9.24
M_ I_Total,-118.5896,34.9726,1648,April,31.77,3.5,9.4,15.3,-0.2,2.46,12.68
M_ I_Total,-118.5896,34.9726,1648,May,13.6,7.3,14.1,20.9,2.1,3.71,18.24
M_ I_Total,-118.5896,34.9726,1648,June,3.78,11.1,18.4,25.8,3.9,5.82,26.32
M_ I_Total,-118.5896,34.9726,1648,July,3.11,15.2,22.5,29.7,5.4,8.61,32.86
M_ I_Total,-118.5896,34.9726,1648,August,4.66,14.2,21.7,29.2,3.3,8.45,33.06
M_ I_Total,-118.5896,34.9726,1648,September,5.25,12,18.9,25.8,1.7,6.79,27.94
M_ I_Total,-118.5896,34.9726,1648,October,15.96,7.5,13.8,20.1,-0.7,4.38,19.42
M_ I_Total,-118.5896,34.9726,1648,November,43.73,3.5,8.5,13.6,-3.5,2.69,11.49
M_ I_Total,-118.5896,34.9726,1648,December,89.53,0.6,5.1,9.7,-5.9,1.97,8.23
M_ I_Total,-118.5896,34.9726,1648,Annual,481.16,6.5,12.4,18.4,-0.4,4.21,17.91
